Codigo Nacional,Nombre,Lat,Lon,Ubicacion,Latitud,Longitud,Distancia_km
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Temuco,-38.7333,-72.6,2035.23
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Palena,-43.5,-72.5,2561.09
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de San Antonio,-33.6,-71.6,1457.92
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Calera,-32.7833,-71.2167,1364.23
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Tarapacá,-20.2,-69.2,109.39
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,La Cruz,-32.8167,-71.2333,1368.06
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Quillota,-32.8833,-71.25,1177.77
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región Metropolitana,-33.45,-70.6667,1230.13
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de Ñuble,-36.6,-72.1,1598.16
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Limarí,-30.7,-71.3,942.81
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Limache,-33.0167,-71.2667,1192.6
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de Arica y Parinacota,-18.5,-69.75,453.44
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia del Elquí,-30.0,-70.9,857.81
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de Coquimbo,-29.95,-71.34,863.75
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Curicó,-34.9833,-71.2333,1406.79
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Linares,-35.85,-71.6,1507.56
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Diguillín,-36.75,-72.1,1614.48
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Carahue,-38.7,-73.1667,1846.81
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región del Maule,-35.4,-71.7,1460.2
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de O'Higgins,-34.6,-71.3,1365.92
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Talca,-35.4333,-71.6667,1463.23
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Chacabuco,-33.2833,-70.7,1212.28
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de San Felipe de Aconcagua,-32.75,-70.7,1153.72
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de Valparaíso,-33.05,-71.6167,1203.39
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Melipilla,-33.7,-71.2,1265.88
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Petorca,-32.25,-70.9333,1102.85
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de La Araucanía,-38.75,-72.6,1841.15
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Talagante,-33.6667,-70.9333,1257.84
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Santiago,-33.45,-70.6667,1230.13
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Paine,-33.8167,-70.75,1271.6
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Huasco,-28.5,-71.25,708.02
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Copiapó,-27.37,-70.33,560.77
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Cabildo,-32.4333,-71.0833,1125.6
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Cautín,-38.7333,-72.6,1839.33
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Quillón,-36.7333,-72.4667,1619.78
